origin_id,destination_id,origin_name,destination_name,trade_flow,output_origin,output_dest,distance,border_dummy,z,ln_z,ln_d
1,1,California,California,66.1557767999894,311.788151135872,311.788151135872,0.487185885537633,1,0.000680532013237315,-7.29263569328006,-0.719109533577465
1,2,California,Texas,9.86020253904706,311.788151135872,172.301016058214,1.75041134277687,1,0.00018354323868424,-8.60306028507016,0.559850813330146
1,3,California,New York,5.30452069439633,311.788151135872,160.712949421183,3.66987424803876,1,0.000105860921460858,-9.15338438704881,1.30015739663985
1,4,California,Florida,5.03328994924567,311.788151135872,111.128924919824,3.53444336340663,1,0.000145266418608865,-8.83694113172637,1.26255582256687
1,5,California,Illinois,3.22005404513042,311.788151135872,93.9504414561401,2.85825310380481,1,0.000109927089409629,-9.11569323548533,1.05021063535025
1,6,California,Pennsylvania,2.14207356823149,311.788151135872,78.7697033619914,3.44388344092232,1,8.72198962361068e-05,-9.3470780852304,1.23659974189355
1,7,California,Ohio,2.32992393190378,311.788151135872,76.7306987773846,3.19987340450862,1,9.73896897411397e-05,-9.23679020773256,1.16311124793206
1,8,California,Georgia,2.36504286730143,311.788151135872,67.4027866016032,3.60125601567758,1,0.000112538613035596,-9.09221416822563,1.28128267785674
1,9,California,North Carolina,1.79739317379336,311.788151135872,59.7711828178123,3.61914503360117,1,9.6447645730661e-05,-9.24651022813117,1.28623781937992
1,10,California,Michigan,2.51653559455649,311.788151135872,53.8132927001357,3.07392992614641,1,0.000149987098784562,-8.80496127566985,1.12295684919829
1,11,California,New Jersey,2.12504318144962,311.788151135872,62.9613142099613,3.59598578048871,1,0.000108251610977736,-9.131052309181,1.27981816234369
1,12,California,Virginia,1.61121585401521,311.788151135872,57.5195467812245,3.83437247800414,1,8.98418455013103e-05,-9.31745970565569,1.34400579118369
1,13,California,Washington,6.79143026544034,311.788151135872,59.2628669361555,1.2291174503515,1,0.000367552161980863,-7.90864531202065,0.206296391804189
1,14,California,Arizona,4.57983360252668,311.788151135872,36.4774231728765,0.783513841342328,1,0.000402685453059909,-7.81735481427583,-0.243966551302119
1,15,California,Massachusetts,1.83786948304106,311.788151135872,58.7765310639652,3.94934979635188,1,0.000100288493844366,-9.20745958698106,1.37355095684505
1,16,California,Tennessee,1.37453007523921,311.788151135872,41.9039632458563,2.81802291230143,1,0.000105205765310258,-9.15959245583286,1.03603554413947
1,17,California,Indiana,1.10724263845917,311.788151135872,37.459933843628,2.86995442479211,1,9.48017138704117e-05,-9.26372307006491,1.05429614978207
1,18,California,Missouri,1.45063910091651,311.788151135872,32.7281622930324,2.4557702776695,1,0.00014216024150529,-8.85855567529201,0.898440470759356
1,19,California,Maryland,1.16528261741421,311.788151135872,45.2839623645765,4.02138425659998,1,8.25329256975465e-05,-9.40231324487841,1.39162618579649
1,20,California,Wisconsin,1.50782947833573,311.788151135872,35.2227931096781,2.65715837731131,1,0.000137299460600384,-8.89334617381872,0.977257272570396
1,21,California,Colorado,3.20615906897606,311.788151135872,41.0752076684106,1.28780023953381,1,0.000250348901970188,-8.29265500517682,0.252935522124266
1,22,California,Minnesota,2.34345819756644,311.788151135872,42.7954543526223,2.38538944955238,1,0.000175630510117804,-8.64712814403218,0.869362402226676
1,23,California,South Carolina,0.848533055618171,311.788151135872,26.1222766243032,3.55914493253404,1,0.000104183306004059,-9.16935865257366,1.26952032852387
1,24,California,Alabama,1.00993409845211,311.788151135872,25.5551175533879,3.12070228980691,1,0.000126752211619474,-8.97327646697086,1.13805806937862
1,25,California,Louisiana,1.24697326129961,311.788151135872,26.1122169128511,2.77665939851656,1,0.000153162973664411,-8.78400801613225,1.02124854992614
1,26,California,Kentucky,0.774686425203792,311.788151135872,21.221019220954,2.78204066218909,1,0.000117084687321452,-9.05261306173996,1.02318470956593
1,27,California,Oregon,4.17608577323879,311.788151135872,24.3089432781116,0.860122554718738,1,0.00055099000801542,-7.50379388324907,-0.150680394400621
1,28,California,Oklahoma,0.771700105533833,311.788151135872,18.9130529235158,1.86694770783268,1,0.000130866146740935,-8.94133553774034,0.624304855507816
1,29,California,Connecticut,0.734231501925156,311.788151135872,28.762284278333,3.76882643981967,1,8.18747586317939e-05,-9.41031981202183,1.32676366382689
1,30,California,Iowa,0.750099121787465,311.788151135872,20.523904495418,2.32714836103008,1,0.00011721928425044,-9.0514641529708,0.844643638639366
1,31,California,Ontario,1.25515626769682,311.788151135872,73.4736790391212,2.88872388681704,0,5.47906440687179e-05,-9.81199110725913,1.06081484295228
1,32,California,Quebec,0.823805753203031,311.788151135872,44.4033105541158,4.39423265700835,0,5.95045072388541e-05,-9.72945849636821,1.48029292135639
1,33,California,British Columbia,0.912282421223556,311.788151135872,29.5851765799779,2.02145726794939,0,9.88998274982905e-05,-9.22140306354046,0.70381867109188
1,34,California,Alberta,1.25730252464905,311.788151135872,34.9557956835521,2.04048546267305,0,0.000115361525050206,-9.06743966459298,0.71318775144386
1,35,California,Manitoba,0.145656716262643,311.788151135872,6.89616240641416,2.35066825477728,0,6.7742844324515e-05,-9.59979172260887,0.854699651467377
1,36,California,Saskatchewan,0.234895782135507,311.788151135872,7.69961795675594,2.22303078471884,0,9.7846756777069e-05,-9.23210800951493,0.798871483162755
1,37,California,Nova Scotia,0.0698827200323103,311.788151135872,3.94108104557025,4.78852969150303,0,5.68715189819825e-05,-9.77471588727864,1.56622341054568
1,38,California,New Brunswick,0.0554961566169445,311.788151135872,3.77537241418199,4.17648029842479,0,4.71458534860226e-05,-9.96226449578442,1.42946885795735
